FLIGHT_CODE,DOMINTIND,FLIGHT_NUMBER,ORIGPORT,DESTPORT,AC_CODE,MOVEMENTTYPE,UACTUALDATE,UACTUALTIME,AC_REGO,ADULT,ADULT_ARRDEP,ADULT_TRANSIT,ADULT_TRANSFER,CHILD,CHILD_ARRDEP,CHILD_TRANSIT,CHILD_TRANSFER,INFANT,INFANT_ARRDEP,INFANT_TRANSIT,INFANT_TRANSFER,CREW,CREW_ARRDEP,CREW_TRANSIT,CREW_TRANSFER,FLTTYPE,GLMGNTCD,TERM,GATE,SECC,MTOW,CAP
QF,D,6175,WAL,SEA,Also,D,2025-12-30,19:25:27,MRS.,AD,76,0,16,CH,5,6,15,IN,17,0,2,CR,16,0,5,B,6,Check.,Every.,TN,44468498.97,373
QF,I,8399,ONC,SEN,Who.,D,2025-02-23,01:51:44,WILL.,AD,75,1,18,CH,31,24,15,IN,3,10,5,CR,1,5,10,W,7,Develop.,Memory we.,TN,22436150.54,393
QF,I,9717,BOO,BAS,That,D,2025-07-22,08:04:59,PAST.,AD,30,24,29,CH,28,19,18,IN,2,7,3,CR,8,4,6,F,4,Middle.,System.,TN,90877655.63,389
QF,D,8124,MEE,LIV,West,L,2025-03-31,05:37:19,HIGH.,AD,63,25,12,CH,38,24,19,IN,8,8,10,CR,13,5,9,S,5,Notice.,Family.,TN,95249627.68,227
QF,D,304,LIV,YEA,Part,L,2025-03-28,14:27:18,FOUR.,AD,20,32,41,CH,26,12,14,IN,6,1,8,CR,2,8,3,U,9,Available.,Today.,TN,35511045.8,448
QF,D,728,CAR,HAL,Say.,D,2025-03-03,17:37:34,MRS.,AD,53,35,28,CH,30,7,24,IN,12,0,5,CR,11,8,2,O,6,Candidate.,Door.,TN,76198157.52,473
QF,I,2055,MAY,BIT,Way.,D,2025-02-02,18:31:15,FACT.,AD,29,27,28,CH,22,14,24,IN,11,5,0,CR,2,4,7,G,3,Mouth.,Small.,TN,54217767.37,328
QF,I,5327,YEA,LAT,Hair,L,2025-11-15,05:24:35,SHE.,AD,24,18,44,CH,31,16,4,IN,7,3,10,CR,11,1,9,A,3,Green.,Another.,TN,52398774.83,290
QF,I,1202,WE.,MAN,Me.,L,2025-05-22,06:00:42,PUSH.,AD,30,48,1,CH,33,22,20,IN,2,5,5,CR,18,4,6,B,7,Practice.,Drive low.,TN,39357735.32,423
QF,I,3450,HOL,FEE,Upon,D,2025-08-17,21:43:20,PLAY.,AD,62,0,36,CH,3,1,2,IN,13,10,7,CR,13,0,3,B,3,Attorney.,Itself.,TN,50236564.14,480
QF,I,4059,WAL,WHE,More,L,2025-08-20,07:41:10,FINE.,AD,5,10,42,CH,15,5,21,IN,11,2,8,CR,9,8,9,F,7,Education.,Look.,TN,19321413.77,340
QF,I,3890,OLD,RED,Hear,L,2025-05-26,16:26:14,YES.,AD,29,34,13,CH,5,19,11,IN,13,3,9,CR,8,9,1,B,3,Safe star.,By sit.,TN,43085198.27,69
QF,D,843,WHA,WAI,Sell,D,2025-03-23,17:46:10,MR.,AD,9,21,3,CH,1,8,23,IN,6,10,5,CR,10,8,7,A,2,Child.,Adult.,TN,42360127.38,119
QF,D,2976,TAK,MAI,Beat,L,2025-03-28,10:03:47,ONCE.,AD,97,0,27,CH,24,20,1,IN,6,7,2,CR,5,3,5,T,6,Section.,Need.,TN,69198216.61,391
QF,I,4845,FIL,OUT,Than,L,2025-11-26,00:23:05,RED.,AD,92,38,23,CH,6,5,14,IN,13,4,4,CR,6,1,0,L,10,Both.,Own every.,TN,33310460.65,229
QF,I,7299,ROA,ITE,Fish,L,2025-09-06,03:17:00,STAY.,AD,49,3,11,CH,21,12,12,IN,13,10,0,CR,11,1,0,W,4,Economy.,In.,TN,88571179.02,195
QF,D,1892,SON,NAM,Bill,D,2025-07-13,08:35:38,BIT.,AD,85,4,23,CH,42,13,13,IN,19,4,6,CR,18,8,6,E,9,Along.,Plan.,TN,25466223.22,232
QF,D,3371,ACT,JOI,None,L,2025-11-26,22:06:47,BIT.,AD,38,26,47,CH,50,11,17,IN,4,6,10,CR,5,3,3,M,10,Brother.,To wish.,TN,84433224.49,147
QF,D,757,A.,SKI,Can.,D,2025-07-22,08:50:32,BOX.,AD,18,43,46,CH,25,7,25,IN,0,7,0,CR,16,8,4,H,8,Political.,He tax.,TN,52334925.01,103
QF,D,5882,TEN,TES,Note,D,2025-03-10,10:32:36,NOW.,AD,10,21,30,CH,7,20,3,IN,1,4,7,CR,20,1,0,W,2,Avoid.,Smile.,TN,84909534.94,385
QF,I,9650,ADD,MAI,With,L,2025-03-26,14:20:21,ITEM.,AD,40,26,32,CH,46,13,20,IN,14,10,10,CR,8,0,8,B,6,Involve.,Top cost.,TN,96212617.09,471
QF,D,2484,FAC,PIC,One.,L,2025-01-17,13:25:49,HOPE.,AD,84,36,41,CH,37,11,21,IN,18,3,4,CR,17,9,5,W,5,Job.,Thousand.,TN,42173465.33,473
QF,I,5426,SIZ,IN.,Fast,L,2025-11-18,21:36:07,DROP.,AD,54,48,31,CH,1,15,0,IN,3,5,5,CR,17,4,8,T,4,Indicate.,Wish rule.,TN,26621124.94,441
QF,I,1826,MEE,TOP,Lot.,D,2025-07-24,11:05:14,ARM.,AD,49,22,50,CH,50,16,16,IN,6,9,0,CR,18,7,3,P,10,Star.,Once hot.,TN,60076189.59,116
QF,D,2525,PAS,MIN,Call,D,2025-08-28,17:48:46,NOW.,AD,1,41,4,CH,28,2,21,IN,11,6,3,CR,11,4,2,G,6,Edge.,Call.,TN,41535105.82,460
QF,I,4099,PLA,AIR,Five,L,2025-09-11,17:03:36,IF.,AD,96,44,41,CH,13,22,24,IN,8,8,7,CR,19,1,2,P,8,Forget.,Mrs might.,TN,38192782.48,498
QF,D,5143,MOV,TUR,True,D,2025-10-02,20:20:40,TELL.,AD,70,26,14,CH,13,1,8,IN,1,0,5,CR,15,7,6,Y,10,Rock.,About bad.,TN,35315044.91,88
QF,D,6777,NEE,OVE,Not.,L,2025-10-04,07:44:04,MAIN.,AD,56,23,9,CH,36,20,0,IN,20,7,7,CR,15,7,9,A,9,Him.,Wish fast.,TN,32570930.64,333
QF,D,5375,VOT,LIK,Deal,D,2025-01-22,11:44:56,CUP.,AD,72,1,0,CH,12,17,5,IN,8,0,7,CR,1,7,1,F,1,They.,Everyone.,TN,5213513.4,379
QF,I,5709,BAL,YES,That,L,2025-08-28,13:16:06,MEAN.,AD,13,35,37,CH,19,23,11,IN,20,5,5,CR,1,8,0,N,8,Question.,Bank.,TN,51730011.1,254
QF,D,6668,LOS,FIL,Site,D,2025-06-09,00:45:45,KEY.,AD,43,11,44,CH,10,8,25,IN,4,2,2,CR,12,9,8,O,4,As full.,Officer.,TN,4250063.78,394
QF,D,5093,REA,IN.,Him.,D,2025-06-03,13:56:21,BANK.,AD,48,20,13,CH,16,24,20,IN,14,8,3,CR,8,1,2,Y,8,Number.,Somebody.,TN,16679578.4,380
QF,D,7414,FUN,FIS,Fact,L,2025-06-14,00:59:24,KEEP.,AD,58,0,2,CH,3,20,4,IN,5,5,2,CR,15,6,6,K,6,Political.,Long.,TN,84550696.53,303
QF,I,6911,YOU,ON.,Sign,L,2025-12-23,08:26:20,WAR.,AD,66,7,2,CH,4,25,13,IN,7,7,9,CR,8,1,10,N,7,Question.,Actually.,TN,62168702.75,139
QF,D,640,YOU,TRI,New.,L,2025-11-01,15:35:19,HAIR.,AD,4,38,47,CH,9,21,5,IN,13,5,1,CR,0,0,9,E,5,Then.,Letter.,TN,4944665.1,496
QF,D,949,HOL,MRS,Eye.,D,2025-09-22,20:38:17,GUN.,AD,60,0,48,CH,26,4,10,IN,19,7,9,CR,6,0,0,H,8,Civil.,Event.,TN,64770926.94,326
QF,I,1237,FAS,WIS,Ask.,L,2025-04-26,11:59:52,HOPE.,AD,81,50,26,CH,28,20,3,IN,7,4,3,CR,19,2,0,S,3,Student.,Effort.,TN,53351434.84,168
QF,D,268,SKI,OF.,Sit.,L,2025-04-30,15:43:02,MEET.,AD,54,18,28,CH,50,17,1,IN,9,1,7,CR,2,7,4,S,5,Difficult.,Miss.,TN,61245044.21,184
QF,D,4465,HIT,LEF,But.,D,2025-04-25,11:49:23,THE.,AD,0,5,30,CH,27,18,8,IN,13,8,7,CR,0,5,10,W,9,Season.,Heavy.,TN,96186217.56,268
QF,D,4800,BAL,BAC,Rest,D,2025-01-09,14:10:47,TREE.,AD,65,20,25,CH,41,11,5,IN,12,9,4,CR,6,3,8,T,2,Deep.,Citizen.,TN,58241021.47,197
QF,D,9451,NON,FIV,Miss,L,2025-06-12,21:10:07,TWO.,AD,26,47,31,CH,44,8,10,IN,18,3,9,CR,1,2,9,L,3,Another.,TV fish.,TN,5552155.16,194
QF,I,4293,WEA,WIN,Past,L,2025-07-02,17:18:04,BUY.,AD,90,2,50,CH,36,8,4,IN,16,1,1,CR,0,7,3,W,10,Drive.,North.,TN,81155111.8,206
QF,D,2035,HER,PM.,Buy.,L,2025-01-08,03:41:24,BODY.,AD,21,27,17,CH,9,13,14,IN,5,9,8,CR,19,10,2,L,6,Easy.,Something.,TN,29563990.71,262
QF,I,4054,PAR,SET,Test,L,2025-09-09,06:23:05,BORN.,AD,35,34,20,CH,27,17,7,IN,4,4,7,CR,10,0,8,E,3,Place.,Join hand.,TN,59622277.15,294
QF,I,7964,THA,TEN,Page,D,2025-01-20,20:40:38,PUT.,AD,77,41,20,CH,13,1,16,IN,11,3,7,CR,18,1,4,C,3,Sure.,Take try.,TN,75792493.11,128
QF,D,2791,LOW,FRE,Food,D,2025-07-26,19:37:37,IT.,AD,36,28,29,CH,20,0,4,IN,6,2,3,CR,14,2,6,C,5,Action.,Record.,TN,71109425.41,194
QF,I,7431,FIN,WAL,Own.,L,2025-08-08,04:57:36,STEP.,AD,53,48,28,CH,9,8,11,IN,6,3,1,CR,10,7,0,O,5,Media.,Establish.,TN,30079835.6,100
QF,I,3925,MAI,TER,Nor.,L,2025-05-12,16:26:37,NO.,AD,47,4,12,CH,32,7,9,IN,13,8,3,CR,11,8,4,N,2,Quickly.,Upon.,TN,79602100.0,67
QF,I,9307,TAX,PAS,Onto,D,2025-03-24,02:14:32,HARD.,AD,24,36,7,CH,13,4,16,IN,2,10,7,CR,2,1,0,G,9,About.,Almost.,TN,30803014.28,274
QF,D,2613,IN.,WHO,Four,L,2025-08-26,21:13:22,VOTE.,AD,91,18,6,CH,22,9,6,IN,6,4,8,CR,15,2,2,C,1,Clear.,Ten here.,TN,88323025.96,98
QF,D,7318,SEA,TAS,Add.,L,2025-08-26,22:59:31,WHO.,AD,92,33,21,CH,14,6,3,IN,16,8,2,CR,13,7,9,B,10,Admit.,Eight.,TN,25382815.77,381
QF,I,5018,ONC,ALS,Us.,D,2025-06-03,09:53:18,IDEA.,AD,74,47,3,CH,38,5,16,IN,20,10,2,CR,3,10,6,I,3,Discuss.,Line type.,TN,93139345.49,317
QF,I,1595,TIM,WAL,She.,D,2025-08-18,23:51:47,PM.,AD,64,48,29,CH,43,13,0,IN,3,3,8,CR,13,6,6,T,8,Unit.,A theory.,TN,81008735.35,267
QF,D,6208,TOO,UNI,Girl,L,2025-02-18,11:58:45,THAN.,AD,48,5,39,CH,36,25,10,IN,12,10,8,CR,1,7,8,D,1,Remember.,Skin.,TN,14653724.99,345
QF,D,8769,BOX,VIE,Up.,L,2025-03-12,21:36:55,TAKE.,AD,8,18,47,CH,11,6,6,IN,3,1,4,CR,14,9,7,M,10,Popular.,To.,TN,11945533.48,116
QF,I,654,FIN,HIM,Free,L,2025-01-07,18:29:31,WHY.,AD,77,25,46,CH,41,15,13,IN,18,5,5,CR,5,6,5,N,3,Task.,Be break.,TN,11212041.05,147
QF,I,4773,GAM,BIG,Man.,L,2025-08-20,03:05:23,TIME.,AD,4,46,10,CH,48,11,20,IN,7,1,6,CR,16,0,2,M,8,Whom.,Hour rich.,TN,5953024.97,414
QF,I,1154,RES,ON.,Girl,D,2025-06-04,18:08:24,FINE.,AD,8,19,7,CH,50,18,25,IN,3,7,8,CR,9,9,1,E,9,Together.,Great.,TN,30835458.81,373
QF,I,8749,KEE,STE,Town,D,2025-08-21,19:18:41,PULL.,AD,80,16,2,CH,25,17,7,IN,9,8,5,CR,5,5,6,I,8,Theory.,Direction.,TN,58367527.11,395
QF,I,3634,OF.,WHY,Back,D,2025-01-20,21:35:37,DOWN.,AD,94,22,16,CH,38,8,9,IN,12,8,5,CR,8,7,9,F,6,Simply.,Out.,TN,57308401.46,221
QF,D,670,PER,FAS,Site,D,2025-10-22,10:28:57,MANY.,AD,83,50,3,CH,48,10,15,IN,5,9,7,CR,12,8,3,O,9,Read them.,With fear.,TN,42756548.89,316
QF,I,7076,HOU,YOU,Plan,L,2025-05-06,18:50:44,NOTE.,AD,28,35,0,CH,42,21,20,IN,2,10,1,CR,2,3,7,B,4,Research.,Wrong.,TN,22793060.61,233
QF,D,1855,OF.,BAB,Drop,D,2025-01-16,19:28:56,NONE.,AD,76,36,15,CH,35,21,1,IN,4,4,0,CR,9,3,1,M,8,Degree.,Find.,TN,75019363.41,331
QF,I,4789,THI,SET,Hard,D,2025-10-28,03:06:22,LET.,AD,51,6,28,CH,9,19,12,IN,17,2,10,CR,20,10,7,U,10,Ground.,Pressure.,TN,1943480.74,463
QF,D,8421,SHE,GOO,Fly.,D,2025-09-03,17:41:48,MEET.,AD,51,31,34,CH,2,5,18,IN,6,5,8,CR,18,9,10,L,7,Data.,Pretty.,TN,89667942.91,158
QF,D,6313,BY.,GAS,Page,L,2025-10-13,05:38:43,FEEL.,AD,75,5,12,CH,3,10,19,IN,9,2,2,CR,15,1,4,F,10,Medical.,Appear.,TN,75180186.44,270
QF,D,3658,ARM,TEA,All.,L,2025-12-15,15:15:24,SIX.,AD,87,18,24,CH,0,14,12,IN,18,4,2,CR,2,5,9,B,7,Career.,Hospital.,TN,49336399.22,166
QF,D,5284,TAX,PER,Top.,L,2025-05-05,17:19:21,DARK.,AD,74,16,39,CH,18,8,12,IN,5,3,4,CR,2,3,1,Y,7,Two great.,Avoid.,TN,1042935.37,285
QF,I,5075,SOR,KIN,Mrs.,D,2025-04-21,23:28:23,PUT.,AD,70,25,5,CH,25,21,5,IN,4,8,8,CR,20,7,5,U,2,Different.,With.,TN,77000362.88,77
QF,D,1957,SEE,RAC,Word,L,2025-09-01,22:30:16,GUN.,AD,67,42,9,CH,38,18,1,IN,11,5,5,CR,16,6,1,P,4,See each.,Dog.,TN,652575.03,331
QF,I,2589,FIN,NEE,In.,D,2025-09-02,18:35:49,WORD.,AD,94,28,3,CH,40,11,16,IN,12,1,0,CR,13,4,4,O,2,Budget.,Beat.,TN,91439577.37,156
QF,D,3160,MEA,MEA,Top.,D,2025-10-08,02:45:05,FIRE.,AD,73,48,4,CH,36,25,23,IN,9,9,0,CR,6,4,3,T,10,Box.,Fill.,TN,76695251.62,350
QF,I,373,STE,ON.,Less,L,2025-03-18,09:32:41,LET.,AD,67,34,45,CH,50,12,6,IN,3,7,1,CR,0,1,0,R,6,Several.,Result.,TN,49233653.41,427
QF,I,3585,TOP,BAR,Sign,D,2025-01-06,03:18:05,OFF.,AD,69,11,45,CH,25,3,21,IN,5,3,1,CR,8,7,5,D,6,Ok five.,Good hair.,TN,16321543.76,410
QF,I,1448,GOO,SHE,Tree,L,2025-05-28,11:25:57,ALSO.,AD,12,24,49,CH,11,8,7,IN,8,2,7,CR,4,2,8,N,1,Out film.,Agreement.,TN,21062499.26,310
QF,D,8542,BIT,AGO,Each,D,2025-07-23,06:35:32,DOOR.,AD,60,18,20,CH,37,3,22,IN,4,4,6,CR,4,1,5,S,8,Happy.,Can enter.,TN,43778184.4,75
QF,D,7698,GET,A.,Top.,D,2025-02-09,17:34:58,TASK.,AD,13,5,49,CH,18,12,10,IN,3,2,7,CR,8,5,7,S,2,Surface.,Really.,TN,59907315.05,470
QF,D,249,GRO,ELS,Meet,L,2025-05-07,22:53:27,TOWN.,AD,74,31,11,CH,27,25,18,IN,5,5,6,CR,2,10,1,M,2,Chair.,Idea.,TN,45914849.17,59
QF,D,5690,SKI,USE,Bill,L,2025-08-08,08:09:14,LEFT.,AD,78,1,12,CH,42,6,15,IN,2,6,4,CR,5,10,6,B,9,Hold body.,Able.,TN,41668173.87,99
QF,I,2429,SUC,YEA,Dark,D,2025-04-28,00:26:37,VOTE.,AD,73,29,22,CH,35,23,24,IN,7,9,6,CR,19,9,4,R,3,Amount.,Benefit.,TN,96063798.76,447
QF,I,3367,SAY,GET,Lead,D,2025-10-31,05:45:50,HEAR.,AD,54,12,45,CH,43,8,23,IN,2,8,8,CR,18,9,6,B,9,Eat live.,Allow.,TN,98440128.82,373
QF,I,9153,MOV,FAR,Stay,D,2025-03-05,14:08:42,HIGH.,AD,53,36,31,CH,43,18,11,IN,1,3,0,CR,17,6,7,B,2,Say.,Newspaper.,TN,84629154.85,497
QF,D,3851,BAD,TES,Need,L,2025-09-26,16:15:56,LOSS.,AD,15,9,32,CH,4,20,8,IN,15,8,3,CR,9,9,6,S,4,Western.,Among.,TN,60929344.11,150
QF,D,9686,FIV,NOT,Away,D,2025-05-01,21:47:07,PUSH.,AD,15,38,40,CH,47,3,12,IN,20,7,6,CR,6,5,5,G,3,Fund.,Listen.,TN,8794860.23,252
QF,D,3684,DOO,DAT,Near,D,2025-10-12,23:05:11,SAVE.,AD,98,45,27,CH,45,5,17,IN,0,9,3,CR,12,10,3,N,4,Region.,Figure.,TN,29234628.49,454
QF,I,3165,PUS,BED,Away,L,2025-03-22,10:09:14,TRUE.,AD,7,13,9,CH,10,3,11,IN,15,5,6,CR,1,6,0,P,3,Kind.,Write.,TN,62062895.13,466
QF,D,1163,AT.,OLD,Both,D,2025-03-09,08:06:09,YET.,AD,47,6,28,CH,46,22,18,IN,4,1,7,CR,12,2,1,O,5,Subject.,Paper.,TN,28100375.07,175
QF,I,2421,GET,RED,Make,D,2025-05-05,09:15:31,TIME.,AD,97,31,26,CH,18,25,19,IN,13,0,8,CR,3,8,10,T,9,Cover.,Various.,TN,54868317.31,361
QF,D,7622,AWA,NEA,Pull,L,2025-01-02,19:22:07,TIME.,AD,57,27,16,CH,27,15,25,IN,1,3,4,CR,5,6,3,W,6,Yard.,Step.,TN,57727649.94,447
QF,I,7999,ARE,TOP,Gas.,D,2025-02-08,05:49:13,SING.,AD,98,19,42,CH,29,14,1,IN,4,9,1,CR,4,8,10,G,4,Guess two.,Bad.,TN,34763039.02,131
QF,D,6964,AND,FEE,Tend,L,2025-06-24,22:31:28,TO.,AD,86,1,47,CH,34,0,1,IN,2,2,7,CR,7,2,9,O,1,Economic.,Wind into.,TN,46497379.5,440
QF,D,6584,SEA,LIF,Poor,L,2025-04-28,04:23:07,LEAD.,AD,48,28,47,CH,17,10,19,IN,11,6,8,CR,16,2,4,E,5,Foreign.,Seat wear.,TN,5328851.56,157
QF,D,1647,RUL,BAG,Know,D,2025-08-30,10:23:32,ALL.,AD,52,31,23,CH,16,13,8,IN,9,5,10,CR,20,4,3,T,1,Someone.,Near on.,TN,87720957.12,105
QF,D,9306,FUN,ART,Body,L,2025-12-16,13:02:50,LAST.,AD,70,43,24,CH,46,7,4,IN,9,1,0,CR,17,7,1,H,2,Computer.,Win these.,TN,35371765.3,174
QF,I,548,ARM,WHY,Six.,D,2025-06-24,02:11:36,YOUR.,AD,24,21,22,CH,37,25,11,IN,2,1,7,CR,2,1,8,U,10,Process.,Item.,TN,342258.72,437
QF,D,4371,CAS,BIT,Born,L,2025-09-10,21:04:25,NICE.,AD,45,40,42,CH,17,18,17,IN,6,10,1,CR,10,5,7,P,2,Young.,Game.,TN,80294670.85,483
QF,D,6291,DRA,HOP,Rise,L,2025-11-22,01:40:55,COLD.,AD,69,42,20,CH,50,3,15,IN,6,10,9,CR,18,5,4,W,2,Customer.,Little.,TN,1625786.05,272
QF,I,3130,MEA,MAK,Back,L,2025-09-19,10:09:54,HIM.,AD,7,26,41,CH,25,15,7,IN,5,9,2,CR,19,1,9,M,1,Material.,Step.,TN,34887120.92,277
QF,D,4663,FUL,RIC,His.,L,2025-08-29,12:15:49,JOB.,AD,16,29,17,CH,19,15,11,IN,16,4,1,CR,15,0,0,I,7,Painting.,Race.,TN,72022019.32,344
QF,D,7399,AND,HOM,Born,L,2025-08-05,06:23:45,TELL.,AD,40,48,22,CH,41,23,24,IN,16,5,4,CR,15,2,4,S,5,Show.,Despite.,TN,93189961.84,468
QF,I,3510,FIV,LIF,If.,L,2025-07-03,14:22:04,NEWS.,AD,90,16,28,CH,8,23,24,IN,14,4,10,CR,18,5,4,M,2,Side.,Quality.,TN,84755124.81,393
QF,I,5164,JOB,FEW,Do.,D,2025-09-06,12:09:48,FOR.,AD,36,4,33,CH,15,12,25,IN,10,7,9,CR,15,4,2,L,9,Car speak.,Test air.,TN,14304763.85,82
QF,D,6044,MAK,GIR,So.,D,2025-05-17,11:46:36,HIT.,AD,51,26,20,CH,20,1,24,IN,5,6,2,CR,5,6,7,R,7,Personal.,Inside.,TN,15137586.5,492
QF,I,2023,BIG,OUR,Able,L,2025-07-09,11:39:55,EACH.,AD,90,6,42,CH,7,25,20,IN,4,4,7,CR,19,0,5,F,2,Total.,Should.,TN,60314761.0,145
QF,D,4141,ITE,BOT,Do.,L,2025-04-05,13:15:14,BOX.,AD,94,29,14,CH,25,2,12,IN,9,9,10,CR,4,5,1,R,9,White.,Boy them.,TN,66398748.32,227
QF,I,1453,LES,HAR,Film,L,2025-01-28,21:06:52,LINE.,AD,95,24,17,CH,44,19,8,IN,8,7,10,CR,12,4,5,T,10,Name.,Bad.,TN,50557893.63,225
QF,D,4528,OFF,DEA,When,D,2025-12-04,19:29:12,ROAD.,AD,37,4,35,CH,19,13,9,IN,5,10,3,CR,8,7,5,F,4,Society.,Nature.,TN,7614784.3,162
QF,I,3101,PUT,FAR,Bag.,D,2025-03-04,07:04:12,AS.,AD,53,6,2,CH,11,25,21,IN,12,7,5,CR,10,8,4,S,6,Shoulder.,Ask stay.,TN,75894101.86,472
