DateLocalPort,TimeLocalPort,FlightCode,FlightNumber,Movement,AircraftType,AircraftRegistration,Origin,Destination,FlightType,SeatingCapacity,TotalPassengers,Infants,TransitPax,TransferPax,POSCrew,OnCarriagePax,Exemptions,TotalPaxChargeable
2025-11-27,22:42:56,JQ,714,D,Ste,Turn.,SIX,TAS,DOM,232,256,4,9,20,7,19,1,78
2025-05-10,23:34:29,JQ,4407,L,Nam,Must.,SKI,STO,INT,171,221,39,2,16,3,9,5,497
2025-05-17,16:45:48,JQ,9571,D,Wea,Front.,BUT,YOU,INT,232,406,12,10,9,9,35,10,405
2025-10-07,13:43:40,JQ,6377,L,Wai,Idea.,HOP,NAM,DOM,259,302,17,2,1,3,43,19,65
2025-09-17,20:06:12,JQ,7720,D,Min,Which.,FIN,FAS,DOM,136,348,1,12,7,5,16,0,99
2025-04-16,20:19:39,JQ,1861,L,Hea,Best.,YEA,PUT,INT,135,500,27,14,23,6,48,13,422
2025-10-28,12:03:28,JQ,5432,D,Sid,Goal.,PAR,SEL,DOM,106,140,15,8,0,9,50,20,223
2025-02-24,19:35:50,JQ,2275,D,Buy,Nor.,ARM,CAR,DOM,442,67,11,6,0,2,39,2,156
2025-10-16,06:01:39,JQ,2200,L,Liv,Eight.,LAN,TYP,DOM,351,497,1,23,20,2,36,3,186
2025-04-30,01:22:59,JQ,5817,D,Sig,West.,ALL,SKI,INT,198,134,38,15,19,9,46,0,324
2025-06-03,19:27:40,JQ,9967,D,May,Give.,OF.,FAC,INT,139,134,11,3,21,0,45,0,362
2025-01-11,02:12:17,JQ,4586,L,Typ,Tell.,MUC,PM.,INT,358,453,1,22,14,0,47,1,278
2025-04-18,19:09:53,JQ,8176,L,Soo,Cut.,SEE,AGO,DOM,495,493,32,19,9,5,46,0,470
2025-12-31,15:04:25,JQ,9227,L,No.,Stop.,THU,PAS,DOM,425,82,50,12,6,2,48,3,296
2025-06-18,20:15:38,JQ,6730,L,Go.,Race.,YOU,GOA,DOM,131,453,27,18,17,6,0,8,307
2025-08-11,11:54:33,JQ,721,D,Ter,Enter.,HOU,KEE,INT,410,327,1,23,15,1,9,9,146
2025-01-17,06:21:02,JQ,1431,L,Eac,Must.,HIS,SIZ,DOM,443,476,12,4,14,0,32,6,290
2025-10-31,21:22:04,JQ,881,D,Cos,Ago.,PUT,OPE,DOM,104,315,42,1,24,10,15,4,331
2025-02-28,02:58:13,JQ,6391,L,Car,Easy.,BY.,KEE,INT,377,99,30,5,0,4,5,18,493
2025-06-30,00:50:13,JQ,5139,L,Ris,Leg.,LAY,TRI,INT,297,335,44,14,14,4,29,9,434
2025-05-19,15:10:33,JQ,9148,D,Hit,Thus.,ONC,MOS,DOM,108,275,25,7,21,7,34,4,248
2025-12-28,09:35:54,JQ,9998,D,Sho,Him.,DOW,MAK,DOM,148,114,9,13,12,0,11,15,240
2025-04-03,19:46:35,JQ,7939,L,Tha,Now.,EYE,SHE,DOM,488,48,46,20,11,1,41,1,115
2025-03-10,20:48:51,JQ,1416,D,Foo,Role.,TYP,GOO,INT,113,237,27,10,6,1,49,5,370
2025-11-10,18:46:21,JQ,5355,D,Wha,Spend.,FIN,MAN,DOM,420,292,31,10,14,2,0,1,70
2025-12-24,15:15:34,JQ,5907,L,Gas,Drive.,FOO,SEN,DOM,374,148,43,19,13,8,4,11,364
2025-01-05,22:23:34,JQ,569,D,Kee,Happy.,LET,MUS,INT,404,126,43,12,18,2,32,8,437
2025-12-06,18:05:29,JQ,1411,D,Pul,Else.,IT.,WOR,DOM,251,398,30,5,14,4,7,14,33
2025-10-17,05:10:21,JQ,2154,L,Ter,Never.,TV.,SIZ,DOM,439,96,48,21,11,8,7,9,239
2025-06-06,19:24:38,JQ,805,D,Bot,Media.,MAN,WIL,INT,185,34,50,24,12,10,37,8,250
2025-02-15,15:35:58,JQ,3715,D,Bas,Red.,HEA,AWA,DOM,326,95,28,10,23,2,31,9,379
2025-10-21,16:45:43,JQ,2055,L,Eac,Later.,PUL,YES,DOM,422,225,33,9,21,8,49,16,397
2025-12-20,21:37:52,JQ,9126,L,Are,He.,EDG,TRI,INT,110,317,23,5,25,6,45,7,280
2025-08-25,03:47:45,JQ,1834,L,Bea,Man.,HIT,TAK,DOM,401,219,8,8,0,8,31,9,167
2025-04-04,11:00:48,JQ,2849,D,Int,Ago.,TAK,PUS,DOM,471,126,37,21,22,6,23,17,28
2025-05-09,15:11:12,JQ,1656,L,Sor,Stuff.,CAR,BAS,INT,268,137,46,16,24,1,34,5,338
2025-04-10,05:23:34,JQ,6546,L,No.,Fall.,GIV,CEL,DOM,358,239,14,25,9,9,43,1,43
2025-01-04,00:45:54,JQ,215,D,Bad,Food.,CAR,MUS,DOM,272,190,39,9,1,1,13,7,316
2025-02-10,19:19:41,JQ,5184,L,Lot,Deep.,WHY,MAN,INT,486,277,34,18,24,9,18,15,162
2025-07-30,05:36:22,JQ,479,L,Bot,Sport.,TES,OFF,INT,382,130,46,13,0,8,11,18,480
2025-01-03,21:58:59,JQ,6906,D,End,Child.,AT.,BAL,INT,193,445,0,23,16,10,31,4,142
2025-08-20,06:35:33,JQ,9663,D,For,By.,OPE,NOT,INT,194,329,8,12,19,6,6,17,349
2025-04-23,04:15:05,JQ,5490,D,Hug,Seek.,BOT,HIM,INT,286,207,5,6,19,3,40,17,94
2025-02-11,12:12:30,JQ,6638,L,Put,How.,EAS,TIM,INT,255,304,12,15,18,2,8,1,352
2025-06-13,22:44:31,JQ,1559,D,Vot,Peace.,YEA,FIN,DOM,421,196,4,8,20,2,24,5,223
2025-07-10,13:59:02,JQ,508,D,Out,Play.,FIN,ONL,DOM,289,60,27,21,2,3,31,13,303
2025-05-29,13:52:39,JQ,9884,D,Rol,Tell.,LAT,VER,DOM,309,213,26,14,12,4,4,5,353
2025-03-17,17:00:57,JQ,5926,L,Gir,Field.,LIS,TAX,DOM,494,327,16,5,9,10,3,19,420
2025-07-08,06:01:59,JQ,1102,L,Man,Cut.,YAR,CEL,INT,328,2,45,4,20,0,1,14,423
2025-12-25,16:32:19,JQ,2050,L,Foo,Place.,AND,HOW,INT,284,256,45,12,17,4,38,19,388
2025-03-22,07:12:13,JQ,4359,L,It.,Offer.,BUT,CEL,INT,243,67,11,21,11,9,18,2,354
2025-08-26,17:25:45,JQ,9199,D,Liv,Send.,TAL,WAI,INT,212,88,47,25,0,7,33,18,234
2025-05-04,14:04:53,JQ,897,D,Act,Guy.,TEA,ME.,INT,339,113,7,18,12,1,0,10,391
2025-10-30,20:57:54,JQ,3935,D,Age,Hot.,ROO,TUR,INT,193,333,9,17,2,8,27,0,275
2025-08-29,12:06:06,JQ,5690,L,Fea,Grow.,SIT,ACT,DOM,275,52,22,5,21,4,12,20,238
2025-01-10,14:35:34,JQ,8126,D,Gro,Name.,BOY,BAC,INT,205,485,2,18,9,7,48,11,286
2025-07-29,11:57:59,JQ,6221,L,Way,Help.,ARM,MAN,INT,184,257,37,11,20,7,2,8,181
2025-05-05,15:50:48,JQ,3861,D,Ide,Walk.,JUS,KEY,DOM,458,117,10,9,22,2,27,5,279
2025-01-17,02:11:06,JQ,1726,L,Ris,May.,MAI,RAC,INT,478,280,18,8,11,5,14,9,119
2025-12-12,07:48:19,JQ,4629,L,Her,Also.,SET,PER,INT,109,206,21,15,1,0,1,19,128
2025-06-24,00:43:46,JQ,5049,L,Day,Find.,TRY,WHY,INT,354,356,15,10,4,9,2,16,118
2025-05-08,08:08:29,JQ,3130,L,Res,Stage.,RIS,GOA,DOM,359,58,49,17,6,1,25,16,18
2025-11-12,00:56:08,JQ,7697,L,Eve,Them.,HOU,KID,DOM,329,58,46,6,5,10,9,1,434
2025-02-15,02:08:01,JQ,2788,L,Tru,Say.,LON,SIT,DOM,158,40,8,19,24,10,43,13,334
2025-12-27,14:44:33,JQ,1340,L,Car,List.,LAW,FOU,INT,235,284,45,8,3,7,45,5,85
2025-09-02,16:17:58,JQ,493,L,Roa,Some.,ALS,LAN,DOM,414,93,37,9,8,8,48,16,277
2025-03-05,02:09:04,JQ,9144,L,Cup,From.,LOT,GOA,INT,117,53,44,4,16,10,7,19,335
2025-05-19,16:36:14,JQ,4157,D,Eve,Enjoy.,AND,HOP,INT,417,388,23,10,15,8,35,16,69
2025-08-17,10:11:46,JQ,9965,L,Poo,Man.,DOO,MAY,DOM,221,284,44,6,5,4,9,6,375
2025-09-25,18:05:06,JQ,5584,D,Fis,This.,HOP,FOO,INT,446,38,26,18,15,8,16,11,133
2025-01-11,20:56:06,JQ,1252,D,Old,Hour.,SEE,BOT,DOM,379,441,42,14,4,3,24,1,437
2025-11-17,06:42:52,JQ,4116,D,Air,After.,HAL,STE,INT,439,9,13,13,17,8,5,0,371
2025-06-20,23:24:42,JQ,7559,D,Mor,Can.,FIS,YEA,DOM,261,203,10,8,13,9,22,15,168
2025-06-19,19:37:26,JQ,1168,L,Som,Form.,MIS,PAG,DOM,291,336,35,23,19,0,15,19,293
2025-12-05,11:14:11,JQ,3244,L,Tri,They.,TOP,WE.,DOM,243,299,18,17,25,6,22,14,421
2025-05-18,14:55:42,JQ,5603,L,Fal,Floor.,GOA,FOU,INT,220,233,3,2,23,0,13,10,388
2025-09-26,22:07:16,JQ,3303,L,Sea,Whole.,LAS,FIN,DOM,141,209,12,11,3,2,20,2,383
2025-02-14,15:30:49,JQ,2608,D,Can,Firm.,SOM,TYP,INT,192,407,39,14,25,0,33,15,487
2025-10-16,17:21:21,JQ,2479,D,Blu,Three.,TRE,CUT,INT,110,419,48,18,6,2,16,6,122
2025-03-03,18:00:08,JQ,8734,D,He.,Few.,FRE,HEA,INT,353,83,15,6,6,4,34,12,320
2025-09-05,13:55:43,JQ,6747,L,Mak,Later.,SUR,VER,INT,226,335,25,5,6,2,37,9,169
2025-11-24,05:22:40,JQ,2614,L,Car,Watch.,PAR,NON,DOM,170,329,5,2,10,1,47,13,189
2025-01-19,07:43:33,JQ,2783,D,No.,Late.,KEE,EAC,INT,412,204,35,12,1,3,48,0,212
2025-12-05,20:10:30,JQ,2934,D,Law,Talk.,MIS,LIV,DOM,335,35,16,20,4,2,42,13,444
2025-10-08,14:48:39,JQ,9366,L,We.,Fight.,GET,VIE,INT,401,397,28,5,10,1,48,13,462
2025-06-12,14:26:22,JQ,7608,D,Her,Gun.,HOT,FEE,INT,243,465,26,17,25,2,20,12,90
2025-03-04,09:10:04,JQ,3271,L,Lea,Same.,FUN,BIG,INT,290,488,10,11,22,9,48,1,271
2025-02-09,01:16:34,JQ,1015,D,He.,Near.,MOV,HIT,INT,103,100,24,17,13,9,45,6,374
2025-08-16,16:17:06,JQ,2454,D,Pic,Each.,WHA,TEN,INT,236,458,35,7,18,7,33,19,219
2025-01-03,07:50:58,JQ,3473,L,Loo,Star.,LON,SEE,DOM,280,119,47,17,22,8,0,17,345
2025-09-11,00:49:36,JQ,5139,L,Blu,Sea.,BOR,RED,INT,319,204,0,15,2,6,10,0,106
2025-07-24,22:07:06,JQ,3226,L,Eas,Buy.,HEA,YAR,DOM,214,451,43,5,4,1,6,9,463
2025-11-20,01:52:30,JQ,5408,L,Tur,Get.,DAT,I.,DOM,265,103,11,15,2,0,18,4,285
2025-12-30,09:51:06,JQ,6519,D,Wor,Other.,RIS,MAI,INT,456,231,37,5,17,0,5,9,2
2025-07-19,22:09:46,JQ,3305,L,Go.,Race.,TAX,CAL,INT,197,491,41,23,4,7,13,5,172
2025-07-02,00:20:14,JQ,9133,D,Eye,Hot.,SEL,AND,INT,366,215,29,2,12,10,16,4,367
2025-02-17,13:38:31,JQ,9686,L,The,Turn.,SON,BAN,INT,435,457,48,25,16,3,42,10,466
2025-11-19,07:25:32,JQ,246,L,Mis,Half.,THA,GUN,INT,138,296,49,10,12,10,48,3,380
2025-08-14,04:11:04,JQ,3730,L,Dow,Less.,CEL,WAY,INT,461,202,45,11,15,9,14,11,266
2025-05-31,03:10:04,JQ,2778,D,Hom,Write.,EAT,WIL,INT,483,493,42,3,3,5,40,4,13
2025-03-15,08:05:54,JQ,4437,D,Mai,The.,SIT,WAN,INT,336,342,5,13,23,3,24,19,176
2025-08-10,11:06:53,JQ,9447,D,Sto,Over.,TOW,ROO,INT,445,401,11,8,2,1,3,10,73
2025-08-25,15:27:39,JQ,3711,D,Nam,I.,BOO,FIV,INT,285,432,24,6,4,4,27,15,28
2025-12-08,14:26:15,JQ,6347,D,Bea,Value.,PER,BAS,DOM,484,83,12,5,23,8,3,9,115
2025-08-16,04:57:25,JQ,5316,D,Fal,Its.,EAS,MIS,DOM,487,84,5,20,15,6,4,12,423
2025-10-28,03:28:37,JQ,8086,D,Mos,Mean.,BAL,CAL,DOM,498,216,0,13,0,7,26,6,210
2025-09-16,07:06:55,JQ,3108,L,Bea,Call.,WEA,WEL,INT,474,420,25,18,12,6,29,11,468
2025-07-12,07:59:10,JQ,1929,D,Two,Cost.,PM.,ROC,DOM,412,86,10,16,2,1,25,6,321
2025-10-09,14:54:41,JQ,687,D,Fir,Town.,TWO,UP.,DOM,298,408,8,14,15,10,2,6,227
2025-09-08,04:55:11,JQ,5866,L,Ter,Might.,LOT,NON,INT,367,231,15,22,15,10,6,17,137
2025-11-25,21:19:25,JQ,3069,L,Fro,Role.,LAN,SEA,DOM,220,500,1,17,23,7,25,6,319
2025-04-18,01:15:01,JQ,6234,D,Col,Easy.,SIG,ON.,DOM,181,413,14,8,22,4,41,2,193
2025-02-16,23:19:05,JQ,2486,L,Non,Still.,COL,ARE,DOM,187,134,5,15,15,2,30,14,122
2025-05-26,17:24:42,JQ,3178,D,Few,Ever.,WIL,MOV,DOM,357,322,5,0,20,7,50,16,246
2025-06-09,09:25:54,JQ,6054,L,Kin,Wear.,MIS,BEA,INT,320,300,45,12,14,5,30,15,255
2025-04-24,03:18:13,JQ,7873,L,Sta,Hand.,RIS,TEL,DOM,236,65,35,21,22,6,8,16,6
2025-06-10,06:12:34,JQ,7800,L,Now,Agent.,PAS,SIG,INT,315,459,35,24,22,5,9,16,47
2025-01-16,07:18:12,JQ,3238,D,Any,Get.,FOR,TAX,INT,414,166,33,5,2,10,28,5,440
2025-06-08,20:17:58,JQ,125,L,Tas,Just.,STA,FRO,DOM,448,411,32,18,2,0,48,7,388
2025-04-09,14:50:48,JQ,6633,L,He.,Many.,EAS,HEL,DOM,397,206,22,4,16,9,21,14,43
2025-10-09,00:33:10,JQ,6778,L,Nic,Build.,LOT,IT.,INT,419,139,38,7,21,6,12,19,277
2025-07-24,21:01:03,JQ,8759,L,Hou,Chair.,GIR,SIX,DOM,494,334,42,13,7,7,9,13,386
2025-12-17,09:30:37,JQ,7865,D,Ter,First.,WAI,YOU,DOM,280,63,37,20,16,5,20,12,450
2025-09-26,11:07:30,JQ,7661,D,Him,Do.,TUR,DEE,INT,487,96,30,22,8,5,12,9,290
2025-08-21,15:33:50,JQ,7420,L,Can,City.,BAL,SON,INT,294,82,19,7,24,1,39,19,464
2025-10-04,04:41:20,JQ,2974,L,Son,Learn.,SEE,FEW,DOM,365,489,50,17,25,6,2,12,330
2025-09-26,17:00:14,JQ,6108,L,Sto,Long.,THA,WEA,INT,465,498,12,4,3,1,30,15,363
2025-09-01,22:28:30,JQ,9146,L,Too,Ball.,DAT,FOR,DOM,500,138,9,15,9,5,20,8,289
2025-07-23,06:35:50,JQ,566,D,Per,Rate.,VOT,WIS,DOM,358,336,20,2,8,1,15,5,105
2025-07-05,05:20:09,JQ,9130,L,Top,Tend.,BOX,CAR,DOM,225,228,8,3,11,0,40,4,463
2025-02-13,05:05:04,JQ,3055,D,Onl,Bill.,JOI,FEE,INT,101,482,50,1,17,6,32,1,104
2025-12-20,03:08:19,JQ,3325,D,Ste,Staff.,DOO,RIS,DOM,438,471,35,4,4,7,13,19,230
2025-06-12,09:19:54,JQ,1056,L,Leg,Field.,GUY,FIN,DOM,498,125,1,13,24,9,28,13,482
2025-11-04,23:39:12,JQ,9196,D,Pic,Gun.,NEE,NOT,DOM,313,301,14,0,4,4,6,8,93
2025-03-06,06:39:54,JQ,8159,L,As.,Hard.,FAC,OF.,INT,453,115,50,13,2,6,0,1,256
2025-12-28,15:54:19,JQ,4437,L,Abl,Whom.,POO,ROC,INT,201,116,12,22,21,10,16,10,413
2025-08-16,00:49:13,JQ,4815,L,Lis,Today.,DOG,LIK,DOM,462,67,35,21,14,2,0,11,327
2025-01-01,04:04:05,JQ,5211,L,Hea,Grow.,AND,STA,DOM,216,45,6,20,19,3,1,12,419
2025-06-23,19:59:57,JQ,6087,L,Kno,Me.,THE,SHE,DOM,487,438,47,6,1,0,29,7,60
2025-11-08,00:32:29,JQ,6224,L,Cos,Treat.,NEA,WHO,DOM,255,234,32,10,3,3,29,16,227
2025-03-28,22:32:24,JQ,5147,L,Rul,Term.,EAT,ELS,INT,378,423,3,15,13,0,16,9,132
2025-06-16,09:27:47,JQ,4693,L,Typ,Half.,FIS,MUC,DOM,448,315,37,25,5,2,44,19,80
2025-07-06,15:50:57,JQ,5170,L,Bag,They.,AWA,LOW,DOM,242,298,22,21,18,6,1,16,460
2025-09-08,03:48:21,JQ,4539,D,Fou,Of.,CIT,TUR,INT,235,36,30,17,14,10,36,12,195
2025-12-21,17:24:45,JQ,5017,L,Dat,Miss.,LAN,SAV,INT,113,396,25,25,21,3,48,17,441
2025-01-04,18:41:21,JQ,692,L,Upo,Take.,KNO,MAN,INT,276,258,47,14,17,5,30,12,264
2025-08-16,02:13:22,JQ,3227,L,Man,Stay.,FUL,FIL,INT,299,287,22,6,2,10,27,4,75
2025-12-25,18:40:28,JQ,1818,L,Sav,Field.,TYP,TOP,INT,387,158,25,15,14,3,43,5,374
2025-12-21,23:35:01,JQ,5620,L,May,Pay.,SOO,SEE,DOM,116,387,26,9,13,3,42,13,409
2025-05-16,20:58:23,JQ,2695,L,Kee,Idea.,SOM,OUT,DOM,204,253,5,0,10,3,15,19,195
2025-03-03,15:27:35,JQ,5866,D,Up.,Rest.,SEE,MAN,INT,228,299,0,3,13,9,42,1,364
2025-11-05,11:48:04,JQ,183,L,Leg,Four.,THE,NEE,INT,303,47,2,20,11,6,39,7,433
2025-05-04,07:25:01,JQ,1267,D,Fun,Sit.,FOR,ON.,DOM,202,271,32,3,9,7,30,13,116
2025-02-25,13:05:01,JQ,1758,D,Fin,Truth.,SON,LOS,INT,500,471,33,6,18,6,10,9,295
2025-09-26,12:10:25,JQ,8706,L,Bal,Some.,YEA,PAS,DOM,144,423,33,4,3,2,14,18,236
2025-03-02,18:37:42,JQ,8797,L,Fir,Eight.,YET,DO.,DOM,180,458,7,17,2,3,31,13,301
2025-11-10,05:14:35,JQ,9930,L,End,Face.,BAS,THE,INT,339,9,32,24,7,4,21,2,465
2025-10-23,05:58:14,JQ,370,D,Fro,Pay.,AIR,RIS,INT,212,68,44,11,8,6,34,1,78
2025-09-12,11:47:24,JQ,4013,L,Doo,Year.,DRA,REA,INT,310,489,3,16,8,3,13,6,388
2025-03-20,09:41:00,JQ,5412,D,Fro,Carry.,PLA,ITE,INT,271,158,36,15,12,1,41,6,306
2025-04-22,21:21:19,JQ,4132,D,Go.,Arm.,TO.,TOP,INT,191,230,21,3,1,6,32,12,125
2025-07-18,18:13:38,JQ,8470,D,Arm,Skill.,VOT,BE.,INT,428,438,36,11,21,5,25,12,166
2025-05-15,07:44:58,JQ,7802,L,Muc,List.,YOU,GUN,INT,386,12,47,13,24,10,44,15,168
2025-02-18,08:02:34,JQ,9427,D,Car,Huge.,NOR,LIK,DOM,478,326,36,21,22,3,48,2,277
2025-03-19,19:48:03,JQ,7866,L,Pla,End.,WAL,TEA,DOM,366,489,44,11,1,4,0,14,65
2025-02-17,10:00:30,JQ,1333,L,Muc,Since.,GOO,LEG,DOM,448,126,43,11,8,0,16,6,351
2025-10-18,00:34:14,JQ,1040,D,Goa,Ready.,TER,SAV,DOM,371,265,36,15,10,5,11,16,435
2025-07-13,00:01:39,JQ,2407,L,And,Bad.,LAN,AND,INT,252,486,26,6,1,4,15,12,9
2025-10-16,18:57:46,JQ,8686,L,Hea,Glass.,NOT,PIC,DOM,381,450,41,22,4,10,24,15,217
2025-03-31,03:24:58,JQ,2478,D,Bad,Away.,TRY,JUS,DOM,402,444,38,21,18,3,45,20,333
2025-09-28,20:04:37,JQ,9714,L,Bas,Major.,PLA,FOR,INT,222,91,49,25,25,7,37,10,10
2025-08-01,06:17:32,JQ,7868,L,New,Next.,WIN,GET,DOM,466,249,14,21,8,8,42,20,60
2025-11-23,03:56:45,JQ,284,D,Do.,Wife.,AS.,TER,DOM,225,42,12,4,5,8,45,5,463
2025-07-09,12:02:53,JQ,5522,L,Tre,Apply.,TES,FRO,DOM,132,436,2,15,17,3,6,20,446
2025-07-22,23:40:27,JQ,112,D,Goa,Avoid.,HOU,OFF,DOM,193,105,32,9,8,8,21,1,250
2025-12-13,02:28:51,JQ,6653,L,Eat,Six.,ANY,SEL,INT,348,200,17,1,11,1,38,0,414
2025-07-11,02:47:18,JQ,5330,D,Arm,This.,HOM,HIS,DOM,316,348,23,3,14,7,11,11,62
2025-05-20,19:28:31,JQ,9551,L,Too,Their.,BAD,LOT,INT,442,289,33,25,20,7,45,9,464
2025-03-10,01:31:29,JQ,6888,L,Pas,We.,HAN,WHA,INT,221,141,40,8,11,7,17,15,31
2025-04-26,21:46:44,JQ,7368,L,Go.,Rest.,SON,SUR,INT,387,351,30,23,12,9,37,7,474
2025-07-03,00:11:10,JQ,542,D,Lik,Pay.,TEN,SHO,INT,107,185,15,3,22,6,28,5,336
2025-01-07,16:56:33,JQ,2467,L,Fac,Unit.,CAN,MOS,INT,280,195,24,1,1,7,31,2,394
2025-12-19,17:53:21,JQ,3907,D,Tri,Music.,ONL,ASK,DOM,316,191,34,14,2,9,16,10,372
2025-02-03,13:06:22,JQ,7708,D,If.,His.,PAG,WIL,DOM,299,228,48,2,6,1,48,3,186
2025-03-19,10:39:46,JQ,9606,D,Up.,Onto.,IN.,CAR,DOM,182,6,23,16,24,0,39,8,362
2025-04-03,16:50:48,JQ,2311,L,Nee,Under.,JUS,DEA,INT,160,28,7,5,0,3,47,13,354
2025-04-06,22:30:31,JQ,375,D,Sto,Power.,CAS,EYE,INT,253,19,47,0,11,8,19,9,85
2025-09-12,08:31:22,JQ,8242,D,Fin,Sing.,VER,SEA,INT,487,143,21,8,24,1,24,14,19
2025-01-21,04:10:02,JQ,6492,D,Foo,Use.,PUS,SEE,INT,377,20,8,6,2,0,12,8,181
2025-06-25,12:54:53,JQ,849,D,Lan,Baby.,FOU,CAR,DOM,341,435,15,7,7,4,38,8,59
2025-03-18,09:40:43,JQ,2342,L,Nor,Put.,CEL,GO.,DOM,468,20,10,16,10,0,9,8,126
2025-11-14,19:10:20,JQ,1207,D,Two,Door.,PM.,ROL,DOM,256,99,45,8,4,7,10,19,240
2025-01-24,08:14:50,JQ,9516,L,Fiv,Check.,MEE,EAS,INT,134,11,49,23,19,8,43,1,370
2025-08-25,20:04:35,JQ,4514,D,Tax,Fall.,FIS,ELS,INT,126,497,4,7,12,8,37,13,117
2025-12-18,11:02:33,JQ,4664,D,Cit,Share.,LAW,SAM,DOM,294,152,5,8,24,8,46,10,259
2025-03-18,14:02:15,JQ,4187,D,Be.,Sense.,LAW,LAS,INT,212,348,5,2,16,2,32,3,414
2025-05-17,16:02:06,JQ,4889,L,Lan,Ready.,KEY,LAT,INT,117,171,45,6,19,3,14,4,188
2025-10-16,03:02:18,JQ,1334,L,One,Size.,GO.,FEA,INT,281,233,48,3,21,3,28,16,295
2025-09-20,07:01:29,JQ,5938,L,Eat,Serve.,AGO,WES,DOM,110,430,2,22,8,6,46,10,404
2025-08-06,23:01:58,JQ,437,D,Cas,Chair.,TOO,WIL,DOM,383,179,30,22,6,5,4,11,417
2025-02-17,07:57:32,JQ,7826,L,Us.,Grow.,SO.,OF.,INT,169,248,9,19,4,1,14,15,75
2025-03-24,21:28:57,JQ,7376,L,Fro,Phone.,LIN,GOA,INT,467,329,43,7,8,2,15,17,110
2025-11-18,15:27:55,JQ,9890,L,Man,Teach.,RUL,FEW,INT,387,331,14,24,9,2,25,0,246
2025-06-01,10:05:55,JQ,4487,D,Fac,Town.,BAC,TRE,DOM,192,443,26,17,0,0,49,11,368
2025-10-16,20:43:13,JQ,681,D,Sam,Level.,LEA,ALS,INT,254,440,4,11,5,9,20,2,373
